business_name,address,mall_center,city,state,zip,mall
CONVENIENCE VENDING,,PRESQUE ISLE RD.,CARIBOU,ME,04736-,False
FUNLAND,P O BOX 224,PRESQUE ISLE RD.,CARIBOU,ME,04736-,False
NORTHERN AMUSEMENTS,,MARKET ST.,FORT KENT,ME,04743-,False
PAUL'S ELECTRONIC GAMES,486  MAIN ST.,,MADAWASKA,ME,04756-,False
ACTION FAMILY ARCADE,P O BOX 1014,JFK PLAZA,WATERVILLE,ME,04901-1014,True
POULIN'S AMUSEMENT,,GARLAND RD.,WINSLOW,ME,04901-9802,False
FERRIS MUSIC SERVICE,7  PINE ST.,,MADISON,ME,04950-,False
LYON'S,10  FRONT ST. W.,,SKOWHEGAN,ME,04976-1193,False
DEVIL'S ELBOW ENTERTAINMENT CENTER,,HWY. 4,STRONG,ME,04983-,True
LANGE MUSIC SERVICE,20  PROSPECT AVE.,,RANDOLPH,VT,05060-1359,False
VERMONT AMUSEMENT,6  ROCKINGHAM,,BELLOWS FALLS,VT,05101,False
JIM'S ARCADE,21  WESTMINSTER ST.,,BELLOWS FALLS,VT,05101-1540,True
OPERA HOUSE ARCADE,,,PROCTORSVILLE,VT,05153-,True
BENNINGTON AMUSEMENT,,PLEASANT VALLEY RD.,BENNINGTON,VT,05201-9801,False
TRICO VENDORS,216  CANAL ST.,,BRATTLEBORO,VT,05301-3412,False
HILL COUNTRY VENDING,P O BOX 161,,EAST DOVER,VT,05341-,False
LYLA,143  NORTH AVE.,,BURLINGTON,VT,05401-2911,False
DREAM MACHINE,,BURLINGTON SQUARE MALL,BURLINGTON,VT,05401-4439,True
ALADDIN'S CASTLE,155  DORSET ST.,UNIVERSITY MALL,SOUTH BURLINGTON,VT,05401-6236,True
LAJOIE'S AMUSEMENTS,P O BOX 305,RANDOLPH RD.,MORRISVILLE,VT,05661-,False
WILSON'S AMUSEMENTS,,SUNSET DR.,MORRISVILLE,VT,05661-9801,False
EVERGREEN AMUSEMENTS & VENDING,P O BOX 875,HWY. 4,WAITSFIELD,VT,05673-0875,False
RUTLAND MUSIC SERVICE,11  TERRILL ST.,,RUTLAND,VT,05701-4156,False
DREAM MACHINE,,RUTLAND MALL,RUTLAND,VT,05701-8001,True
ALPINE AMUSEMENTS & VENDING,,,CHITTENDEN,VT,05737,False
MIDDLEBURY VENDING,,RD 1,MIDDLEBURY,VT,05753-,False
WIZ ARCADE,,HWY. 7 S.,MIDDLEBURY,VT,05753-9801,True
CONES POINT MINIATURE GOLF,1701  HWY. 2,,POULTNEY,VT,05764,False
J J ENTERPRISES,,MAIN ST.,BARTON,VT,05822-,False
SELF SERVICE SALES,13  BRITTON DR.,,BLOOMFIELD,CT,06002-3616,False
ALL AMUSEMENT,199  CENTRAL ST.,,FORESTVILLE,CT,06010-,False
PEP AMUSEMENT,11  EVERGREEN ST.,,FORESTVILLE,CT,06010-7635,False
NEWMAN BROTHERS AMUSEMENTS,2005  WILBUR CROSS HWY.,,BERLIN,CT,06037-3617,False
SUPERIOR GAMES,77  TOLLAND TPK. # K,,MANCHESTER,CT,06040-,False
DURSELL NOVELTY & AMUSEMENT,1009  EAST ST.,,NEW BRITAIN,CT,06051-1652,False
COMMERCIAL MUSIC & GAMES,45  OSGOOD AVE.,,NEW BRITAIN,CT,06053-2831,False
ATLAS AMUSEMENTS,86  WHITING,,PLAINVILLE,CT,06062-,False
CONNECTICUT GOLFLAND,95  HARTFORD TPK.,,VERNON,CT,06066-,False
TONS OF FUN,530  BUSHY HILL RD.,FARMINGTON VALLEY MALL,SIMSBURY,CT,06070-2922,True
GOLD MINE,90  ELM ST.,ENFIELD SQUARE,ENFIELD,CT,06082-3720,True
INTERNATIONAL DISTRIBUTORS,7  THOMPSON RD.,,EAST WINDSOR,CT,06088-,False
A AMUSEMENTS,541  SPRING ST.,,WINDSOR LOCKS,CT,06096-1106,False
PLAYMORE MUSIC,148  MOUNTAIN VIEW TERR.,,WINSTED,VT,06098,False
CAPITOL VENDING SERVICES,8  HIGHLAND ST.,,EAST HARTFORD,CT,06108-3426,False
RONALD J LaMONICA,72  BOND ST.,,WETHERSFIELD,CT,06109-2803,False
JED'S VENDING & AMUSEMENT,105  AIRPORT RD.,,HARTFORD,CT,06114-,False
CLASSIC JUKE BOX PARTY RENTALS,16  KENNETH ST.,,HARTFORD,CT,06114-1742,False
21st CENTURY AMUSEMENT EMPORIUM,549  WETHERSFIELD AVE.,,HARTFORD,CT,06114-1914,True
J & J AMUSEMENTS,626  FORBES ST.,,EAST HARTFORD,CT,06118-1913,False
T & M DISTRIBUTORS,2  BIRCH ST.,,WILLIMANTIC,CT,06226-2186,False
O'CONNOR MUSIC,8  SOUTH ST.,,DANIELSON,CT,06239-,False
ARTY'S BILLIARDS,,NEW LONDON SHOPPING CENTER,NEW LONDON,CT,06320-2608,True
G G VEND-O-MATIC,41  WESTWOOD AVE.,,NEW LONDON,CT,06320-2726,False
M B M ARCADE,1225  OCEAN AVE.,,NEW LONDON,CT,06320-2899,True
RAM ELECTRIC,495  MONTAUK AVE.,,NEW LONDON,CT,06320-4607,False
TONS OF FUN,42  TOWN ST.,NORWICHTOWN MALL,NORWICH,CT,06360-2316,True
AMERICAN MUSIC,445  MAIN N.,,NORWICH,CT,06360-3921,False
ANGELICO MUSIC,74  MAIN ST. N.,,NORWICH,CT,06360-5937,False
EXCELSIOR AMUSEMENTS & VENDING,72  CLIFTON AVE.,,ANSONIA,CT,06401-2227,False
P Z P ASSOCIATES,396  SHARON DR.,,CHESHIRE,CT,06410-3353,False
